Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR1512199,2-3 months old,RNA-Seq,50,141787950,PRJNA254994,SAMN02907706,103906056,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649892,GSM1433687,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433687,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512200,2-3 months old,RNA-Seq,50,104143500,PRJNA254994,SAMN02907710,76862946,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649893,GSM1433688,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433688,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512201,2-3 months old,RNA-Seq,50,116969500,PRJNA254994,SAMN02907715,86699189,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649894,GSM1433689,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433689,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512202,2-3 months old,RNA-Seq,50,122399050,PRJNA254994,SAMN02907720,89644823,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649895,GSM1433690,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433690,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512203,2-3 months old,RNA-Seq,50,111675950,PRJNA254994,SAMN02907724,81503715,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649896,GSM1433691,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433691,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512204,2-3 months old,RNA-Seq,50,124122100,PRJNA254994,SAMN02907727,91570222,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649897,GSM1433692,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433692,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512205,2-3 months old,RNA-Seq,50,110909750,PRJNA254994,SAMN02907728,81401019,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649898,GSM1433693,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433693,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512206,2-3 months old,RNA-Seq,50,136150100,PRJNA254994,SAMN02907729,99883840,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649899,GSM1433694,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433694,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512207,2-3 months old,RNA-Seq,50,62238950,PRJNA254994,SAMN02907730,45796847,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649900,GSM1433695,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433695,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512208,2-3 months old,RNA-Seq,50,9818550,PRJNA254994,SAMN02907731,7378502,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649901,GSM1433696,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433696,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512209,2-3 months old,RNA-Seq,50,153680650,PRJNA254994,SAMN02907335,112024495,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649902,GSM1433697,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433697,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512210,2-3 months old,RNA-Seq,50,91193650,PRJNA254994,SAMN02907337,68640187,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649903,GSM1433698,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433698,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512211,2-3 months old,RNA-Seq,50,125033300,PRJNA254994,SAMN02907338,92950407,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649904,GSM1433699,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433699,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512212,2-3 months old,RNA-Seq,50,139011300,PRJNA254994,SAMN02907340,102023893,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649905,GSM1433700,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433700,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512213,2-3 months old,RNA-Seq,50,135274600,PRJNA254994,SAMN02907342,99887083,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649906,GSM1433701,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433701,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512214,2-3 months old,RNA-Seq,50,149421350,PRJNA254994,SAMN02907344,109238589,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649907,GSM1433702,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433702,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512215,2-3 months old,RNA-Seq,50,136788350,PRJNA254994,SAMN02907346,99620033,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649908,GSM1433703,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433703,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512216,2-3 months old,RNA-Seq,50,139312650,PRJNA254994,SAMN02907347,102679720,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649909,GSM1433704,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433704,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512217,2-3 months old,RNA-Seq,50,99391250,PRJNA254994,SAMN02907349,73151315,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649910,GSM1433705,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433705,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512218,2-3 months old,RNA-Seq,50,132437500,PRJNA254994,SAMN02907351,97496537,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649911,GSM1433706,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433706,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512219,2-3 months old,RNA-Seq,50,112278200,PRJNA254994,SAMN02907353,82713526,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649912,GSM1433707,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433707,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512220,2-3 months old,RNA-Seq,50,157227200,PRJNA254994,SAMN02907355,115227525,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649913,GSM1433708,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433708,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512221,2-3 months old,RNA-Seq,50,155161100,PRJNA254994,SAMN02907357,113312348,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649914,GSM1433709,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433709,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512222,2-3 months old,RNA-Seq,50,156112400,PRJNA254994,SAMN02907359,114614690,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649915,GSM1433710,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433710,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512223,2-3 months old,RNA-Seq,50,148389900,PRJNA254994,SAMN02907361,108523184,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649916,GSM1433711,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433711,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512224,2-3 months old,RNA-Seq,50,133291550,PRJNA254994,SAMN02907363,98052352,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649917,GSM1433712,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433712,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512225,2-3 months old,RNA-Seq,50,144015150,PRJNA254994,SAMN02907364,105894939,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649918,GSM1433713,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433713,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512226,2-3 months old,RNA-Seq,50,135618000,PRJNA254994,SAMN02907366,99401998,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649919,GSM1433714,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433714,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512227,2-3 months old,RNA-Seq,50,142940700,PRJNA254994,SAMN02907369,104052677,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649920,GSM1433715,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433715,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512228,2-3 months old,RNA-Seq,50,107921000,PRJNA254994,SAMN02907371,79880657,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649921,GSM1433716,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433716,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512229,2-3 months old,RNA-Seq,50,127057700,PRJNA254994,SAMN02907374,93168219,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649922,GSM1433717,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433717,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512230,2-3 months old,RNA-Seq,50,130297450,PRJNA254994,SAMN02907379,95991418,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649923,GSM1433718,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433718,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512231,2-3 months old,RNA-Seq,50,89802850,PRJNA254994,SAMN02907381,66332463,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649924,GSM1433719,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433719,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512232,2-3 months old,RNA-Seq,50,154133300,PRJNA254994,SAMN02907384,112695957,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649925,GSM1433720,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433720,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512233,2-3 months old,RNA-Seq,50,136880050,PRJNA254994,SAMN02907387,100251257,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649926,GSM1433721,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433721,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512234,2-3 months old,RNA-Seq,50,44548000,PRJNA254994,SAMN02907390,33739660,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649927,GSM1433722,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433722,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512235,2-3 months old,RNA-Seq,50,135492600,PRJNA254994,SAMN02907393,99390216,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649928,GSM1433723,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433723,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512236,2-3 months old,RNA-Seq,50,144256450,PRJNA254994,SAMN02907396,106341211,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649929,GSM1433724,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433724,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512237,2-3 months old,RNA-Seq,50,141912550,PRJNA254994,SAMN02907400,105276201,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649930,GSM1433725,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433725,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512238,2-3 months old,RNA-Seq,50,130215350,PRJNA254994,SAMN02907403,95034467,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649931,GSM1433726,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433726,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512239,2-3 months old,RNA-Seq,50,141776700,PRJNA254994,SAMN02907551,102696791,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649932,GSM1433727,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433727,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512240,2-3 months old,RNA-Seq,50,66628450,PRJNA254994,SAMN02907552,50038051,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649933,GSM1433728,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433728,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512241,2-3 months old,RNA-Seq,50,105773550,PRJNA254994,SAMN02907553,78915268,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649934,GSM1433729,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433729,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512242,2-3 months old,RNA-Seq,50,123493800,PRJNA254994,SAMN02907555,91918245,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649935,GSM1433730,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433730,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512243,2-3 months old,RNA-Seq,50,107337000,PRJNA254994,SAMN02907556,80103796,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649936,GSM1433731,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433731,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512244,2-3 months old,RNA-Seq,50,119496950,PRJNA254994,SAMN02907557,89182121,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649937,GSM1433732,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433732,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512245,2-3 months old,RNA-Seq,50,109314300,PRJNA254994,SAMN02907558,81069471,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649938,GSM1433733,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433733,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512246,2-3 months old,RNA-Seq,50,129320600,PRJNA254994,SAMN02907560,96267687,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649939,GSM1433734,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433734,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512247,2-3 months old,RNA-Seq,50,144236650,PRJNA254994,SAMN02907561,106780390,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649940,GSM1433735,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433735,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512248,2-3 months old,RNA-Seq,50,102916950,PRJNA254994,SAMN02907562,77055005,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649941,GSM1433736,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433736,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512249,2-3 months old,RNA-Seq,50,122088050,PRJNA254994,SAMN02907563,90981190,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649942,GSM1433737,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433737,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512250,2-3 months old,RNA-Seq,50,116031200,PRJNA254994,SAMN02907565,86438340,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649943,GSM1433738,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433738,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512251,2-3 months old,RNA-Seq,50,7551850,PRJNA254994,SAMN02907566,5667284,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649944,GSM1433739,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433739,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512252,22 months old,RNA-Seq,50,95989000,PRJNA254994,SAMN02907567,66120692,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649945,GSM1433740,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433740,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512253,22 months old,RNA-Seq,50,101948900,PRJNA254994,SAMN02907568,69383732,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649946,GSM1433741,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433741,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512254,22 months old,RNA-Seq,50,112280200,PRJNA254994,SAMN02907569,76472969,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649947,GSM1433742,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433742,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512255,22 months old,RNA-Seq,50,85871350,PRJNA254994,SAMN02907570,59211512,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649948,GSM1433743,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433743,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512256,22 months old,RNA-Seq,50,16607500,PRJNA254994,SAMN02907571,11572677,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649949,GSM1433744,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433744,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512257,22 months old,RNA-Seq,50,95528200,PRJNA254994,SAMN02907572,64729833,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649950,GSM1433745,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433745,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512258,22 months old,RNA-Seq,50,72621400,PRJNA254994,SAMN02907573,50500661,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649951,GSM1433746,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433746,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512259,22 months old,RNA-Seq,50,46377250,PRJNA254994,SAMN02907574,31478669,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649952,GSM1433747,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433747,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512260,22 months old,RNA-Seq,50,78088050,PRJNA254994,SAMN02907575,53501081,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649953,GSM1433748,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433748,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512261,22 months old,RNA-Seq,50,72006100,PRJNA254994,SAMN02907576,49694170,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649954,GSM1433749,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433749,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512262,22 months old,RNA-Seq,50,101570450,PRJNA254994,SAMN02907577,68882568,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649955,GSM1433750,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433750,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512263,22 months old,RNA-Seq,50,72774650,PRJNA254994,SAMN02907578,49018543,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649956,GSM1433751,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433751,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1512264,22 months old,RNA-Seq,50,79162250,PRJNA254994,SAMN02907579,53686287,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649957,GSM1433752,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433752,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
